Title,Date,Time,Duration,Tags,Link
Hong Kong: What’s Next for Regulation?,,,,"GOVERNMENT & REGULATORY BODIES, POLICY / REGULATION",https://consensus-hongkong2025.coindesk.com/agenda/event/-hong-kong-whats-next-for-regulationa-15
Creating Crypto Projects at Scale,,,,"MARKETING / ADVERTISING / PUBLIC RELATIONS, MARKETING / ADVERTISING",https://consensus-hongkong2025.coindesk.com/agenda/event/-cmo-session-how-to-build-a-crypto-business-85
EasyA Consensus Hackathon: AI on the Move,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-aptos-keynote-177
TDX Strategies Unveils an Innovative Product,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-tdx-strategies-unveils-an-innovative-product-190
"Hong Kong as a Global Hub for Digital Assets, Innovation, and the Web3 Economy",,,,"CRYPTO / WEB3 SOFTWARE, INSTITUTIONAL INVESTING, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-fireside-adrian-cheng-94
Empowering Global Food Chain Through Technology,,,,SPONSORED SESSIONS,https://consensus-hongkong2025.coindesk.com/agenda/event/-dimitra-sponsored-session-2
Global Regulation Panel,,,,POLICY / REGULATION,https://consensus-hongkong2025.coindesk.com/agenda/event/-global-regulation-panel-35
Fireside with Web3 Foundation's CFO,,,,"BUILDERS, BLOCKCHAIN, PROTOCOLS / FOUNDATIONS, SMART CONTRACTS",https://consensus-hongkong2025.coindesk.com/agenda/event/-polkadot-protocol-village-47
Bitcoin Maxis Meetup,,,,聚会,https://consensus-hongkong2025.coindesk.com/agenda/event/-meetup-womens-154
Joining Forces for the Next Chapter in Hong Kong's Digital Asset Ecosystem,,,,"CRYPTO / WEB3 SOFTWARE, INSTITUTIONAL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-hkd-stablecoin-announcement-discussion-188
More than Bitcoin: Shaping the Future with Binance,,,,CRYPTO / WEB3 SOFTWARE,https://consensus-hongkong2025.coindesk.com/agenda/event/-more-than-bitcoin-shaping-the-future-with-binance-13
Why Polkadot is the Best Place to Build Web3,,,,BUILDERS,https://consensus-hongkong2025.coindesk.com/agenda/event/-why-polkadot-is-the-best-place-to-build-web3-216
Web3 Blueprint for Hong Kong Report,,,,"DEVELOPER (WEB3), WEB3, WEB3 CREATOR ECONOMY",https://consensus-hongkong2025.coindesk.com/agenda/event/-web3-blueprint-for-hong-kong-report-116
Fireside: Auros,,,,"CRYPTO / WEB3 SOFTWARE, DEV TOOLS / OPPORTUNITIES, TOKEN USAGE",https://consensus-hongkong2025.coindesk.com/agenda/event/-fireside-auros-135
EasyA Consensus Hackathon: Asset Hub: Laying the Groundwork for the Next Generation of Apps,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-ai-on-the-move-218
Playing For The Future,,,,"游戏, 游戏",https://consensus-hongkong2025.coindesk.com/agenda/event/-gaming-session-86
USDC as a Platform for Global Prosperity,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-circle-open-money-summit-session-8
Where Does Ethereum Go From Here?,,,,"STABLECOINS, BLOCKCHAIN, DEFI, PROTOCOLS / FOUNDATIONS, STAKING",https://consensus-hongkong2025.coindesk.com/agenda/event/-title-tbd-eth-panel-18
Protocol Village: BNB,,,,"BUILDERS, BLOCKCHAIN, PROTOCOLS / FOUNDATIONS, SMART CONTRACTS",https://consensus-hongkong2025.coindesk.com/agenda/event/-protocol-village-bnb-48
Spotlight on Hong Kong,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-spotlight-on-hong-kong-117
Web3-Founders Meetup: Unblocking Mass Adoption,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-web3-founders-meetup-unblocking-mass-adoption-130
How Sovereign Wealth Funds are Accessing Digital Assets,,,,"财务, INSTITUTIONAL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-how-sovereign-wealth-founds-are-accesing-digital-assets-36
Zeebu Mainstage Session - Bridging Reality and Blockchain: The Future of RWAs & User Abstraction,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-zeebu-mainstage-session-7
EasyA Consensus Hackathon: Building on the XRP Ledgar,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-ripple-keynote-178
Dimensions of the Crypto Market,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-dwf-labs-protocol-village-session-5
What Fuels Markets? An Inside Look at How Markets Flow,,,,"财务, INSTITUTIONAL INVESTING, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-liquidy-panel-37
Web3 Incentives for a Sustainable Future: Simplifying Participation for Mass Adoption,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-incentive-sponsored-session-10
Concealing the Chain - Real World Use Cases for Crypto and Consumers,,,,"CRYPTO / WEB3 SOFTWARE, NFT’S, WEB3 CREATOR ECONOMY",https://consensus-hongkong2025.coindesk.com/agenda/event/-hiding-the-wires-real-world-use-cases-for-crypto-and-consumersgamersfans-88
Unlocking DeFi for the Masses: A Conversation with World Liberty Financial and TRON,,,,"STABLECOINS, BUILDERS, CRYPTO / WEB3 SOFTWARE, DEFI",https://consensus-hongkong2025.coindesk.com/agenda/event/-tron-a-year-of-momentum-20
EasyA Consensus Hackathon: Building Autonomous AI Agents on Aptos,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-asset-hub-laying-the-groundwork-for-the-next-generation-of-apps-219
Protocol Village: Aptos,,,,"BUILDERS, BLOCKCHAIN, PROTOCOLS / FOUNDATIONS, SMART CONTRACTS",https://consensus-hongkong2025.coindesk.com/agenda/event/-protocol-village-aptos-49
Meetup: AI & AI Agent Enthusiasts,,,,聚会,https://consensus-hongkong2025.coindesk.com/agenda/event/-meetup-btc-156
Does Crypto Have a Culture?,,,,"COMMUNITY, CRYPTO / WEB3 SOFTWARE, WEB3 CREATOR ECONOMY",https://consensus-hongkong2025.coindesk.com/agenda/event/-rugradio-sponsored-session-173
Nomad Capitalist: Unlocking Global Opportunities and Freedom,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-nomad-capitalist-sponsored-session-11
Dealing with the Bull Market - How Deal Making Will Change the Industry Landscape,,,,"INSTITUTIONAL INVESTING, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-dealmaking-2025-ma-public-private-deals-in-a-bull-market-cycle-38
DeFi Meets Institutions: Building Trust and Infrastructure on Sui,,,,"BUILDERS, DEFI, PROTOCOLS / FOUNDATIONS",https://consensus-hongkong2025.coindesk.com/agenda/event/-the-rise-of-sui-bringing-institutions-on-chain-21
Predicting Media Success,,,,"MARKETING / ADVERTISING, WEB3 CREATOR ECONOMY",https://consensus-hongkong2025.coindesk.com/agenda/event/-onchain-media-prediction-markets-convo-87
Crossing Borders: How Emerging Markets are Leapfrogging Remittances and Payments,,,,"TRADITIONAL FINANCE - PAYMENTS, CRYPTO / WEB3 SOFTWARE, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-crossing-borders-how-emerging-markets-are-leapfrogging-remittances-and-payments-39
Solana: Building the World's Internet Capital Markets,,,,"BUILDERS, INSTITUTIONAL INVESTING, PROTOCOLS / FOUNDATIONS, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-fireside-lily-liu-91
"TRON and T3 FCU: Global Adoption while Balancing Decentralization, Security, and Scalability",,,,"BUILDERS, BLOCKCHAIN, PROTOCOLS / FOUNDATIONS, SMART CONTRACTS",https://consensus-hongkong2025.coindesk.com/agenda/event/-protocol-village-tron-50
Doge to Trump: When Meme Culture Meets Crypto Future,,,,SPONSORED SESSIONS,https://consensus-hongkong2025.coindesk.com/agenda/event/-gateio-sponsored-session-4
Beyond Trading: How Crypto is Shaping the Market,,,,"CRYPTO - EXCHANGES, CRYPTO / WEB3 SOFTWARE, INSTITUTIONAL INVESTING, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-title-tbd-exchange-panel-22
"5M+ Traders, 5B+ Trading Volume, 500+ Experts, 384%+ WXT: What's Next for WEEX?",,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-weex-sponsored-session-92
EasyA Consensus Hackathon: Introduction to NFT Mozaic,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-building-autonomous-ai-agents-on-aptos-220
Real World Assets and The Never Ending Search for Yield,,,,"DEFI, INSTITUTIONAL INVESTING, STAKING",https://consensus-hongkong2025.coindesk.com/agenda/event/-the-never-ending-search-for-yield-40
Fireside: Wintermute,,,,"财务, INSTITUTIONAL INVESTING, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-fireside-evgeny-gaevony-23
Protocol Village: Solana,,,,"BUILDERS, BLOCKCHAIN, PROTOCOLS / FOUNDATIONS, SMART CONTRACTS",https://consensus-hongkong2025.coindesk.com/agenda/event/-protocol-village-solana-51
How Established Brands Are Using Web3,,,,"WEB3, WEB3 CREATIVE SERVICES",https://consensus-hongkong2025.coindesk.com/agenda/event/-mainstream-brands-in-web3-90
Meetup: Exploring Next-Gen Web3 Technology,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-meetup-exploring-next-gen-web3-technology-112
The Metaverse is Dead: Rise of AI the King of Digital Innovation,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-pundi-ai-sponsored-session-31
Is There Still Room for Non-US Dollar Stablecoins?,,,,"STABLECOINS, DEFI, INSTITUTIONAL INVESTING, TOKEN USAGE",https://consensus-hongkong2025.coindesk.com/agenda/event/-stablecoins-41
China's Blockchains,,,,"CRYPTO - BLOCKCHAIN REGISTRY, BLOCKCHAIN, INSTITUTIONAL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-china-blockchain-panel-24
EasyA Consensus Hackathon: Introduction to Bifrost,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-introduction-to-nft-mozaic-221
"Art, AI and the Future of Creativity",,,,"AI, WEB3 CREATIVE SERVICES, WEB3 CREATOR ECONOMY",https://consensus-hongkong2025.coindesk.com/agenda/event/-art-ai-and-the-future-of-creativity-98
Hong Kong: Transitioning from a Global Financial Hub to a Global Web3 Hub,,,,"财务, WEB3, CRYPTO / WEB3 SOFTWARE, INSTITUTIONAL INVESTING, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-hong-kong-transitioning-from-a-global-financial-hub-to-a-global-web3-hub-43
Fighting for Digital Property Rights,,,,"DEVELOPER (WEB3), CRYPTO / WEB3 SOFTWARE",https://consensus-hongkong2025.coindesk.com/agenda/event/-fighting-for-digital-property-rights-19
Stablecoins: Shaping the Future of Payments,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-platon-sponsored-session-32
David(s) vs. Goliaths: Decentralized AI and the War for AI’s Future,,,,"DATA, ANALYTICS, AND AI, AI",https://consensus-hongkong2025.coindesk.com/agenda/event/-davids-vs-goliaths-decentralized-ai-and-the-war-for-ais-future-81
Fireside: Google Cloud & Mantra,,,,"CRYPTO / WEB3 SOFTWARE, DEFI, PROTOCOLS / FOUNDATIONS",https://consensus-hongkong2025.coindesk.com/agenda/event/-fireside-google-cloud-mantra-136
The Next Wave: Public Bitcoin Treasuries,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-genius-futurefi-summit-session-12
CoinDesk PitchFest Semifinals - Round 3,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-pitchfest-semifinals-2-105
Powering the Future of AI with User-Owned Data,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-vana-sponsored-session-28
Fireside: Crypto.com,,,,"RETAIL, CRYPTO / WEB3 SOFTWARE, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-fireside-bitpanda-165
Advancing Freedom of Finance for the Frontier Markets,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-investhk-meetup-hk-opportunities-ama-127
Making Crypto Useful: The Next Phase of Adoption,,,,"CRYPTO / WEB3 SOFTWARE, INSTITUTIONAL INVESTING, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-making-crypto-useful-the-next-phase-of-adoption-60
From Custody to Liquidity: How Tokenisation is Changing Financial Markets,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-zodia-custody-sponsored-session-123
EasyA Consensus Hackathon Pitch Session,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-pitch-session-180
EasyA Consensus Hackathon: Aptos Pitches,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-introduction-to-origintrail-223
DePIN Revolution: Connecting the Physical & Digital Worlds,,,,CRYPTO / WEB3 SOFTWARE,https://consensus-hongkong2025.coindesk.com/agenda/event/-depin-session-61
DeFi's Infrastructure,,,,"DEFI, PROTOCOLS / FOUNDATIONS, STAKING",https://consensus-hongkong2025.coindesk.com/agenda/event/-defi-plumbing-71
Data is the New Oil,,,,"DATA, ANALYTICS, AND AI, AI, TECHNOLOGY",https://consensus-hongkong2025.coindesk.com/agenda/event/-data-is-the-new-oil-79
Navigating the Next Wave of Web3 Innovation: Where VCs Are Placing Bets,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-vc-panel-2-143
The Student Movement: Universities as Catalysts for Web3 Innovation,,,,STUDENT,https://consensus-hongkong2025.coindesk.com/agenda/event/-the-student-movement-universities-as-catalysts-for-web3-innovation-30
The Future is Quantum Reject Quantum Doomerism. Embrace Quantum Hopefulness.,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-telos-sponsored-session-6
What World is Crypto Creating ?,,,,"COMMUNITY, CRYPTO / WEB3 SOFTWARE, PROTOCOLS / FOUNDATIONS",https://consensus-hongkong2025.coindesk.com/agenda/event/-whats-happening-nexta-76
Take Control of Your Health with Decentralised Intelligence,,,,"HEALTHCARE & MEDICAL, AI",https://consensus-hongkong2025.coindesk.com/agenda/event/-being-the-ceo-of-your-own-health-securing-your-health-data-with-distributed-ledger-technology-167
How Crypto AI Will Defeat Big Tech,,,,"AI, TECHNOLOGY",https://consensus-hongkong2025.coindesk.com/agenda/event/-keynote-generative-ventures-138
EasyA Consensus Hackathon: Ripple Pitches,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-aptos-pitches-225
